,id,Locality,Postcode,Street,Number,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,TerraceArea,Garden,Garden area,Surface of the land,Surface area of the plot of land,Number of facades, Swimming pool,State of the building
99,10666607,Gent,9000,Sint-Denijslaan ,1,APARTMENT,DUPLEX,349000,FOR_SALE,2,118.0,No,Yes,No,Yes,9.0,No,,No info,No info,3,No,GOOD
100,10666879,Bruxelles,1050,Avenue Louise ,433,APARTMENT,APARTMENT,365000,FOR_SALE,5,134.0,No,Yes,No,No,,No,,No info,No info,2,No,GOOD
101,10666278,Ixelles,1050,Avenue Louise ,589,APARTMENT,DUPLEX,620000,FOR_SALE,2,160.0,No,Yes,No,Yes,40.0,No,,No info,No info,2,No,AS_NEW
102,10502849,Hamme,9220,Marktplein ,11,APARTMENT,APARTMENT,399000,FOR_SALE,2,125.0,No,No,,Yes,,No,,,No info,2,No,GOOD
103,10686632,Dendermonde,9200,Zuidlaan ,2,APARTMENT,APARTMENT,399000,FOR_SALE,2,125.0,No,No,,Yes,,No,,,No info,2,No,GOOD
104,10674310,Ixelles,1050,Avenue Louise ,231,APARTMENT,APARTMENT,250000,FOR_SALE,2,86.0,No,Yes,No,Yes,7.0,No,,,No info,2,No,GOOD
105,10674311,Ixelles,1050,Avenue Louise ,231,APARTMENT,APARTMENT,250000,FOR_SALE,2,86.0,No,Yes,No,Yes,7.0,No,,,No info,2,No,GOOD
106,10674312,Ixelles,1050,Avenue Louise ,231,APARTMENT,APARTMENT,250000,FOR_SALE,2,86.0,No,Yes,No,Yes,7.0,No,,,No info,2,No,GOOD
107,10674309,Ixelles,1050,Avenue Louise ,231,APARTMENT,APARTMENT,270000,FOR_SALE,2,86.0,No,Yes,No,Yes,7.0,No,,,No info,2,No,GOOD
108,10674670,Aalst,9300,Parklaan ,63,APARTMENT,APARTMENT,339000,FOR_SALE,2,92.0,No,No,,Yes,6.0,No,,,No info,2,No,GOOD
109,10680622,Kapelle-op-den-Bos,1880,Verbindingsweg ,41,APARTMENT,APARTMENT,190000,FOR_SALE,1,67.0,No,No,,Yes,8.0,No,,,No info,4,No,GOOD
110,10663786,Trooz,4870,Grand rue ,191,APARTMENT,APARTMENT,160000,FOR_SALE,2,65.0,No,Yes,No,Yes,16.0,No,,,No info,2,No,TO_BE_DONE_UP
111,10663948,Mechelen,2800,Hoogstraat ,5,APARTMENT,FLAT_STUDIO,174000,FOR_SALE,0,34.0,No,No,No,Yes,16.0,No,,,No info,2,No,AS_NEW
112,10663652,Woluwe-St-Lambert,1200,"Avenue des Cerisiers, ",95,APARTMENT,APARTMENT,179000,FOR_SALE,1,61.0,No,Yes,No,Yes,4.0,No,,No info,No info,2,No,GOOD
113,10665158,Woluwe-Saint-Pierre,1150,Parvis Sainte-Alix ,37,APARTMENT,FLAT_STUDIO,180000,FOR_SALE,0,43.0,No,Yes,No,Yes,5.0,No,,No info,No info,2,No,AS_NEW
114,10664225,Anderlecht,1070,Rue Potaerdenberg ,31,APARTMENT,APARTMENT,265000,FOR_SALE,2,105.0,No,Yes,No,Yes,5.0,No,,No info,No info,2,No,GOOD
115,10663620,Vichte,8570,Vichteplaats ,13,APARTMENT,APARTMENT,362500,FOR_SALE,4,345.0,No,No,,No,,Yes,,,No info,2,No,TO_BE_DONE_UP
116,10663906,Saint-Gilles,1060,rue Antoine Breart ,42,APARTMENT,APARTMENT,380000,FOR_SALE,2,85.0,No,Yes,No,Yes,10.0,No,,No info,No info,3,No,AS_NEW
117,10664791,Oudergem,1160,Vorstlaan ,292,APARTMENT,APARTMENT,695000,FOR_SALE,2,117.0,No,Yes,No,Yes,8.0,No,,No info,No info,2,No,AS_NEW
118,10570763,Hoeilaart,1560,Avenue Leopold I ,9,APARTMENT,APARTMENT,745000,FOR_SALE,3,190.0,No,Yes,No,Yes,27.0,No,,,No info,2,No,AS_NEW
119,10685001,Bruxelles ville,1000,Rue Archimède ,17,APARTMENT,FLAT_STUDIO,130000,FOR_SALE,0,41.0,No,Yes,No,No,,No,,No info,No info,4,No,GOOD
120,10683655,Woluwe-St-Lambert,1200,"Avenue des Cerisiers, ",212,APARTMENT,APARTMENT,325000,FOR_SALE,2,87.0,No,Yes,No,Yes,7.0,No,,No info,No info,2,No,AS_NEW
121,10672823,Bruxelles,1040,Rue Abbé Cuypers (étage ,1,APARTMENT,APARTMENT,295000,FOR_SALE,2,92.0,No,Yes,No,Yes,6.0,No,,No info,No info,2,No,TO_BE_DONE_UP
122,10677494,Saint-Gilles,1060,Avenue Clémentine ,31/4,APARTMENT,APARTMENT,135000,FOR_SALE,1,60.0,No,Yes,No,Yes,2.0,No,,No info,No info,2,No,TO_RENOVATE
123,10677229,Huy,4500,Avenuedes Ardennes ,7d,APARTMENT,APARTMENT,269500,FOR_SALE,2,90.0,No,No,,No,,No,,No info,No info,2,No,AS_NEW
124,10660108,Woluwe-St-Pierre,1150,"Val des Seigneurs, ",9a,APARTMENT,APARTMENT,425000,FOR_SALE,3,137.0,No,Yes,No,Yes,8.0,No,,No info,No info,3,No,AS_NEW
125,10659994,Woluwe-St-Lambert,1200,"Avenue des Cerisiers, ",212,APARTMENT,APARTMENT,495000,FOR_SALE,4,160.0,No,Yes,No,Yes,30.0,No,,No info,No info,,No,GOOD
126,10681338,Antwerpen,2000,Sint-Katelijnevest ,24,APARTMENT,APARTMENT,595000,FOR_SALE,2,152.0,No info,No,No,Yes,12.0,No,,,No info,2,No,AS_NEW
127,10686354,Bruxelles,1000,Rue Royale ,178,APARTMENT,APARTMENT,275000,FOR_SALE,1,75.0,No,Yes,No,Yes,2.0,No,,No info,No info,2,No,GOOD
