,id,Locality,Postcode,Street,Number,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,TerraceArea,Garden,Garden area,Surface of the land,Surface area of the plot of land,Number of facades, Swimming pool,State of the building
169,10682376,Onkerzele,9500,Onkerzelestraat ,272,APARTMENT,APARTMENT,199000,FOR_SALE,3,104.0,No,No,,Yes,,No,,No info,No info,2,No,GOOD
170,10682375,Gooik,1755,Edingsesteenweg ,91,HOUSE,HOUSE,469000,FOR_SALE,5,297.0,No,No,Yes,Yes,,No,,918,621,4,No,GOOD
171,10682371,Antwerpen,2018,Generaal Lemanstraat ,55,APARTMENT,APARTMENT,309500,FOR_SALE,3,,No info,No,No,No,,No,,No info,No info,no info,No,No info
172,10682369,Huy,4500,Avenuedes Ardennes ,7d,HOUSE,HOUSE,149500,FOR_SALE,3,100.0,No,No,,No,,No,,265,165,3,No,GOOD
173,10682368,Antwerpen,2018,Generaal Lemanstraat ,55,APARTMENT,APARTMENT,269500,FOR_SALE,2,,No info,No,No,No,,No,,No info,No info,no info,No,No info
174,10682365,Antwerpen ,2000,Leopold de Waelplaats ,6,APARTMENT,APARTMENT,239000,FOR_SALE,2,110.0,No,No,No,No,,No,,No info,No info,no info,No,No info
175,10682364,Sint Amandsberg,9040,Antwerpsesteenweg ,211,HOUSE,,303000,FOR_SALE,3,131.0,No,Yes,No,Yes,12.0,Yes,,290,159,,No,GOOD
176,10682363,Antwerpen,2018,Generaal Lemanstraat ,55,APARTMENT,APARTMENT,203500,FOR_SALE,1,,No info,No,No,No,,No,,No info,No info,no info,No,No info
177,10682362,Gembloux,5030,Chaussée de Namur ,47,HOUSE,HOUSE,109000,FOR_SALE,2,92.0,No,No,,Yes,,No,,0,-92,3,No,TO_RENOVATE
178,10682361,Gembloux,5030,Chaussée de Namur ,47,HOUSE,APARTMENT_BLOCK,490000,FOR_SALE,0,,No info,No,,No,,No,,0,No info,2,No,GOOD
179,10682360,Boussu,7300,"Rue de l'Eglise, ",1,HOUSE,HOUSE,45000,FOR_SALE,2,,No info,No,,No,,No,,300,No info,2,No,
